objid,ra,dec,u,g,r,petroR50_r,petroR90_r,fracDeV_r,deVAB_r,expAB_r,redshift,u_r,u_g,g_r,C_r,morphology,morph_colorcut
1237648675606692011,245.717327404757,1.19935097273064,20.17674,18.05407,16.93844,1.510974,4.368406,1.0,0.6999051,0.7340011,0.1363494,3.238299999999999,2.1226699999999994,1.1156299999999995,2.891119238319124,elliptical,elliptical
1237648704044073155,192.249682450242,-0.322343637274105,19.38456,17.42269,16.48978,2.588453,7.163908,1.0,0.5217749,0.5074044,0.0819373,2.894780000000001,1.9618700000000011,0.9329099999999997,2.7676407491269885,elliptical,elliptical
1237648703505629321,188.631432847475,-0.765121151593068,18.20903,16.56195,15.75265,4.812828,13.24791,1.0,0.6556509,0.5773912,0.07773563,2.4563799999999993,1.647079999999999,0.8093000000000004,2.7526248600614855,elliptical,elliptical
1237648703524962662,232.721134848608,-0.733114278017654,19.47229,17.36867,16.20834,2.350675,7.0142,0.6755712,0.630793,0.6216975,0.1268169,3.2639500000000012,2.1036199999999994,1.1603300000000019,2.9839088772373894,elliptical,elliptical
1237648705122271406,202.402002910131,0.456878140256128,18.8756,16.98545,15.99176,3.238044,10.65111,1.0,0.8203686,0.8142812,0.104438,2.8838399999999993,1.8901499999999984,0.9936900000000009,3.289365431723596,elliptical,elliptical
1237648703518081224,217.032621824668,-0.668421563755131,19.77977,17.81111,16.75168,1.833375,5.061778,0.8167224,0.4280168,0.4388044,0.1335656,3.028089999999999,1.9686599999999999,1.059429999999999,2.760907070293857,elliptical,elliptical
1237648703519326518,219.90497562089,-0.770377212893527,19.48925,17.67984,16.69324,3.166224,9.180899,0.5843138,0.2999917,0.3384928,0.071994,2.796009999999999,1.8094099999999997,0.9865999999999993,2.89963660183234,elliptical,elliptical
1237648704584745138,200.883436020777,0.0718121473690926,19.30408,17.33716,16.42008,3.064965,9.271926,1.0,0.6886467,0.6110455,0.07836134,2.8840000000000003,1.9669199999999982,0.9170800000000021,3.025132750292418,elliptical,elliptical
1237648702985863457,227.702357405551,-1.06250574708545,18.20077,16.19199,15.25126,2.688233,9.260613,1.0,0.7228693,0.7551605,0.05415484,2.9495099999999983,2.008779999999998,0.9407300000000003,3.444869920129691,elliptical,elliptical
1237648702974263370,201.251512516348,-1.10086310967645,19.63988,17.63482,16.56976,1.944193,5.989177,1.0,0.7565807,0.8128515,0.1063064,3.070120000000003,2.0050600000000003,1.0650600000000026,3.0805465301027213,elliptical,elliptical
1237648704590643362,214.34239097418,0.0236979605642372,17.20059,15.45608,14.60244,5.780122,15.30169,1.0,0.5652989,0.5170401,0.05338602,2.5981499999999986,1.7445099999999982,0.8536400000000004,2.647295333904717,elliptical,elliptical
1237648704599687408,234.973521613764,0.205380045099395,19.83831,17.95651,16.84899,2.489091,6.726928,0.6832985,0.2482798,0.2966914,0.1108654,2.9893199999999993,1.8817999999999984,1.107520000000001,2.702564108744919,elliptical,elliptical
1237648673460912298,249.628744816503,-0.478048086871586,20.07322,17.81938,16.80126,2.200965,6.514995,0.9920443,0.6020083,0.6116959,0.09800664,3.27196,2.2538400000000003,1.0181199999999997,2.960062972378025,elliptical,elliptical
1237648703510872234,200.589488048656,-0.801395808174407,18.94601,17.41685,16.66702,1.805914,5.286092,1.0,0.5322285,0.5811912,0.09293688,2.2789900000000003,1.529160000000001,0.7498299999999993,2.9271006260541754,elliptical,elliptical
1237648705129087211,217.97583315268,0.515722066952341,19.32095,17.40596,16.35528,2.588237,8.038056,0.9829139,0.780865,0.7807647,0.1308362,2.9656699999999994,1.9149899999999995,1.0506799999999998,3.1056104985748987,elliptical,elliptical
1237648704041451668,186.209173450851,-0.316893393179611,20.07463,17.64296,16.42054,4.369821,13.12552,1.0,0.6524364,0.6295855,0.1578495,3.65409,2.4316700000000004,1.2224199999999996,3.0036745212218077,elliptical,elliptical
